,wind_code,sec_name,ar_by_buyer_name,ar_buyer_standard,ar_buyer_subid,cus_name,cus_name_standard,cus_name_subid,ar_buyer_region,cus_region,match_score
3490,000017.SZ,深中华A,深圳市威特瑞新能源科技有限公司,深圳市威特瑞新能源科技有限公司,11,深圳市威特瑞新能源科技有限公司,深圳市威特瑞新能源科技有限公司,4,深圳,深圳,100
3998,000025.SZ,特力A,深圳市星光达珠宝首饰实业有限公司,深圳市星光达珠宝首饰实业有限公司,15,深圳市星光达珠宝首饰实业有限公司,深圳市星光达珠宝首饰实业有限公司,8,深圳,深圳,100
4344,000026.SZ,飞亚达,华润(深圳)有限公司,华润(深圳)有限公司,5,华润(深圳)有限公司,华润(深圳)有限公司,2,深圳,深圳,100
4356,000026.SZ,飞亚达,华润新鸿基房地产(杭州)有限公司,华润新鸿基房地产(杭州)有限公司,6,华润新鸿基房地产(杭州)有限公司,华润新鸿基房地产(杭州)有限公司,3,杭州,杭州,100
4703,000027.SZ,深圳能源,国网江苏省电力有限公司,国网江苏省电力有限公司,12,国网江苏省电力有限公司,国网江苏省电力有限公司,9,江苏,江苏,100
4738,000027.SZ,深圳能源,广东电网公司,广东电网公司,14,广东电网公司,广东电网公司,12,广东,广东,100
4754,000027.SZ,深圳能源,广东电网公司惠州供电局,广东电网公司惠州供电局,15,广东电网公司,广东电网公司,12,广东,广东,100
4770,000027.SZ,深圳能源,广东电网公司惠州供电局(惠州供电局),广东电网公司惠州供电局(惠州供电局),16,广东电网公司,广东电网公司,12,广东,广东,100
4786,000027.SZ,深圳能源,广东电网公司深圳供电局,广东电网公司深圳供电局,17,广东电网公司,广东电网公司,12,广东,广东,100
4802,000027.SZ,深圳能源,广东电网公司深圳供电局(深圳供电局),广东电网公司深圳供电局(深圳供电局),18,广东电网公司,广东电网公司,12,广东,广东,100
4819,000027.SZ,深圳能源,广东电网有限责任公司,广东电网有限责任公司,19,广东电网有限责任公司,广东电网有限责任公司,13,广东,广东,100
4900,000027.SZ,深圳能源,江苏省电力公司,江苏省电力公司,24,江苏省电力公司,江苏省电力公司,14,江苏,江苏,100
4911,000027.SZ,深圳能源,江苏省电力有限公司,江苏省电力有限公司,25,国网江苏省电力有限公司,国网江苏省电力有限公司,9,江苏,江苏,100
4928,000027.SZ,深圳能源,河北省电力公司,河北省电力公司,26,国网河北省电力公司,国网河北省电力公司,10,河北,河北,100
4966,000027.SZ,深圳能源,深圳市城市管理局,深圳市城市管理局,28,深圳市城市管理局,深圳市城市管理局,16,深圳,深圳,100
5064,000030.SZ,富奥股份,一汽解放青岛汽车有限公司,一汽解放青岛汽车有限公司,6,一汽解放青岛汽车有限公司,一汽解放青岛汽车有限公司,6,青岛,青岛,100
5129,000030.SZ,富奥股份,大众汽车自动变速器(天津)有限公司,大众汽车自动变速器(天津)有限公司,11,大众汽车自动变速器(天津)有限公司,大众汽车自动变速器(天津)有限公司,11,天津,天津,100
6246,000032.SZ,深桑达A,杭州吉海信息科技有限公司,杭州吉海信息科技有限公司,39,杭州吉海信息科技有限公司,杭州吉海信息科技有限公司,8,杭州,杭州,100
6445,000034.SZ,神州数码,北京市国顺泰科贸易有限公司,北京市国顺泰科贸易有限公司,6,北京市国顺泰科贸有限公司,北京市国顺泰科贸有限公司,2,北京,北京,92
6831,000035.SZ,中国天楹,国网山东省电力公司,国网山东省电力公司,20,国网山东省电力公司滨州供电公司,国网山东省电力公司滨州供电公司,11,山东,山东,100
6849,000035.SZ,中国天楹,国网山东省电力公司滨州供电公司,国网山东省电力公司滨州供电公司,21,国网山东省电力公司滨州供电公司,国网山东省电力公司滨州供电公司,11,山东,山东,100
6868,000035.SZ,中国天楹,国网江苏省电力公司,国网江苏省电力公司,22,国网江苏省电力公司,国网江苏省电力公司,12,江苏,江苏,100
6994,000035.SZ,中国天楹,江苏省电力公司,江苏省电力公司,29,国网江苏省电力公司,国网江苏省电力公司,12,江苏,江苏,100
7217,000037.SZ,深南电A,中电建湖北电力建设有限公司,中电建湖北电力建设有限公司,7,中电建湖北电力建设有限公司,中电建湖北电力建设有限公司,5,湖北,湖北,100
7260,000037.SZ,深南电A,深圳供电局有限公司,深圳供电局有限公司,10,深圳供电局有限公司,深圳供电局有限公司,9,深圳,深圳,100
7275,000037.SZ,深南电A,深圳市水务局,深圳市水务局,11,深圳市水务局,深圳市水务局,11,深圳,深圳,100
7775,000042.SZ,中洲控股,深圳市汇海置业有限公司,深圳市汇海置业有限公司,22,深圳市汇海置业有限公司,深圳市汇海置业有限公司,1,深圳,深圳,100
8259,000048.SZ,京基智农,深圳南山区王伟国,深圳南山区王伟国,34,深圳南山区王伟国,深圳南山区王伟国,9,深圳,深圳,100
8275,000048.SZ,京基智农,深圳市坂田物业管理有限公司,深圳市坂田物业管理有限公司,35,深圳市坂田物业管理有限公司,深圳市坂田物业管理有限公司,11,深圳,深圳,100
8345,000048.SZ,京基智农,深圳市金地物业管理有限公司,深圳市金地物业管理有限公司,40,深圳市坂田物业管理有限公司,深圳市坂田物业管理有限公司,11,深圳,深圳,85
8402,000048.SZ,京基智农,珠海市年丰水产养殖有限公司,珠海市年丰水产养殖有限公司,44,珠海市年丰水产养殖有限公司(顾春官),珠海市年丰水产养殖有限公司(顾春官),12,珠海,珠海,100
8416,000048.SZ,京基智农,珠海年丰水产养殖有限公司,珠海年丰水产养殖有限公司,45,珠海市年丰水产养殖有限公司(顾春官),珠海市年丰水产养殖有限公司(顾春官),12,珠海,珠海,92
8430,000048.SZ,京基智农,珠海年丰水产养殖有限公司(顾春官),珠海年丰水产养殖有限公司(顾春官),46,珠海市年丰水产养殖有限公司(顾春官),珠海市年丰水产养殖有限公司(顾春官),12,珠海,珠海,94
8952,000058.SZ,深赛格,中山大学附属第七医院(深圳),中山大学附属第七医院(深圳),12,中山大学附属第七医院(深圳),中山大学附属第七医院(深圳),3,深圳,深圳,100
9358,000058.SZ,深赛格,深圳市公安局交通警察局,深圳市公安局交通警察局,28,深圳市公安局交通警察局,深圳市公安局交通警察局,9,深圳,深圳,100
9359,000058.SZ,深赛格,深圳市公安局交通警察局,深圳市公安局交通警察局,28,深圳市公安局交通警察局(办公楼物业管理费),深圳市公安局交通警察局(办公楼物业管理费),10,深圳,深圳,100
9383,000058.SZ,深赛格,深圳市公安局交通警察局小区,深圳市公安局交通警察局小区,29,深圳市公安局交通警察局,深圳市公安局交通警察局,9,深圳,深圳,100
9384,000058.SZ,深赛格,深圳市公安局交通警察局小区,深圳市公安局交通警察局小区,29,深圳市公安局交通警察局(办公楼物业管理费),深圳市公安局交通警察局(办公楼物业管理费),10,深圳,深圳,85
9489,000058.SZ,深赛格,深圳市康网科技有限公司,深圳市康网科技有限公司,33,深圳市康网科技有限公司,深圳市康网科技有限公司,15,深圳,深圳,100
9516,000058.SZ,深赛格,深圳市沃德沃实业有限公司,深圳市沃德沃实业有限公司,34,深圳市沃德沃实业有限公司,深圳市沃德沃实业有限公司,17,深圳,深圳,100
9542,000058.SZ,深赛格,深圳市润能数码科技有限公司,深圳市润能数码科技有限公司,35,深圳市润能数码科技有限公司,深圳市润能数码科技有限公司,18,深圳,深圳,100
9567,000058.SZ,深赛格,深圳市润能科技数码有限公司,深圳市润能科技数码有限公司,36,深圳市润能数码科技有限公司,深圳市润能数码科技有限公司,18,深圳,深圳,85
9824,000058.SZ,深赛格,龙焱能源科技(杭州)有限公司,龙焱能源科技(杭州)有限公司,46,龙焱能源科技(杭州)有限公司,龙焱能源科技(杭州)有限公司,25,杭州,杭州,100
10905,000059.SZ,华锦股份,辽宁北方戴纳索合成橡胶有限公司,辽宁北方戴纳索合成橡胶有限公司,47,辽宁北方戴纳索合成橡胶有限公司,辽宁北方戴纳索合成橡胶有限公司,23,辽宁,辽宁,100
11581,000061.SZ,农产品,广州华泽包装设备有限公司,广州华泽包装设备有限公司,11,广州华泽包装设备有限公司,广州华泽包装设备有限公司,4,广州,广州,100
11842,000061.SZ,农产品,深圳市俊隆果菜农业技术开发有限公司,深圳市俊隆果菜农业技术开发有限公司,22,深圳市俊隆果菜农业技术开发有限公司,深圳市俊隆果菜农业技术开发有限公司,12,深圳,深圳,100
12029,000061.SZ,农产品,深圳市绿膳谷农业创新发展有限公司,深圳市绿膳谷农业创新发展有限公司,30,深圳市绿膳谷农业创新发展有限公司,深圳市绿膳谷农业创新发展有限公司,15,深圳,深圳,100
13925,000068.SZ,华控赛格,北京中环嘉诚环境工程有限公司,北京中环嘉诚环境工程有限公司,8,北京中环嘉诚环境工程有限公司,北京中环嘉诚环境工程有限公司,1,北京,北京,100
13936,000068.SZ,华控赛格,北京清华同衡规划设计研究院有限公司,北京清华同衡规划设计研究院有限公司,10,北京清华同衡规划设计研究院有限公司,北京清华同衡规划设计研究院有限公司,2,北京,北京,100
13978,000068.SZ,华控赛格,深圳市佰德瑞科技有限公司,深圳市佰德瑞科技有限公司,18,深圳市佰德瑞科技有限公司,深圳市佰德瑞科技有限公司,4,深圳,深圳,100
14122,000070.SZ,ST特信,深圳市中兴康讯电子有限公司,深圳市中兴康讯电子有限公司,23,深圳市中兴康讯电子有限公司,深圳市中兴康讯电子有限公司,3,深圳,深圳,100
14128,000070.SZ,ST特信,深圳市友华通信技术有限公司,深圳市友华通信技术有限公司,24,深圳市友华通信技术有限公司,深圳市友华通信技术有限公司,4,深圳,深圳,100
14175,000078.SZ,海王生物,南阳市中心医院,南阳市中心医院,3,南阳市中心医院,南阳市中心医院,1,南阳,南阳,100
14196,000078.SZ,海王生物,威海市立医院,威海市立医院,7,威海市立医院,威海市立医院,2,威海,威海,100
14263,000078.SZ,海王生物,潍坊市人民医院,潍坊市人民医院,20,潍坊市人民医院,潍坊市人民医院,4,潍坊,潍坊,100
14294,000078.SZ,海王生物,郑州大学第一附属医院,郑州大学第一附属医院,26,郑州大学第一附属医院,郑州大学第一附属医院,5,郑州,郑州,100
14310,000088.SZ,盐田港,1中海油惠州石化有限公司,1中海油惠州石化有限公司,1,中海油惠州石化有限公司,中海油惠州石化有限公司,1,惠州,惠州,100
14349,000088.SZ,盐田港,中海油惠州石化有限公司,中海油惠州石化有限公司,4,中海油惠州石化有限公司,中海油惠州石化有限公司,1,惠州,惠州,100
14459,000088.SZ,盐田港,广东省联合电子服务股份有限公司,广东省联合电子服务股份有限公司,12,广东联合电子服务股份有限公司,广东联合电子服务股份有限公司,7,广东,广东,93
14469,000088.SZ,盐田港,广东粤电大埔发电有限公司,广东粤电大埔发电有限公司,13,广东粤电大埔发电有限公司,广东粤电大埔发电有限公司,4,广东,广东,100
14485,000088.SZ,盐田港,广东联合电子收费股份有限公司,广东联合电子收费股份有限公司,14,广东联合电子服务股份有限公司,广东联合电子服务股份有限公司,7,广东,广东,86
14498,000088.SZ,盐田港,广东联合电子服务股份有限公司,广东联合电子服务股份有限公司,15,广东联合电子服务股份有限公司,广东联合电子服务股份有限公司,7,广东,广东,100
14669,000088.SZ,盐田港,深圳能源集团股份有限公司燃料分公司,深圳能源集团股份有限公司燃料分公司,28,深圳能源集团股份有限公司燃料分公司,深圳能源集团股份有限公司燃料分公司,9,深圳,深圳,100
14670,000088.SZ,盐田港,深圳能源集团股份有限公司燃料分公司,深圳能源集团股份有限公司燃料分公司,28,深圳能源集团股份有限公司燃料物资分公司,深圳能源集团股份有限公司燃料物资分公司,10,深圳,深圳,88
14697,000088.SZ,盐田港,湖北华电西塞山发电有限公司,湖北华电西塞山发电有限公司,30,湖北华电西塞山发电有限公司,湖北华电西塞山发电有限公司,11,湖北,湖北,100
14855,000088.SZ,盐田港,黄石鑫泰物流有限公司,黄石鑫泰物流有限公司,42,黄石鑫泰物流有限公司,黄石鑫泰物流有限公司,13,黄石,黄石,100
14864,000089.SZ,深圳机场,中国东方航空股份有限公司,中国东方航空股份有限公司,2,中国东方航空股份有限公司,中国东方航空股份有限公司,1,东方,东方,100
14915,000089.SZ,深圳机场,海南航空控股股份有限公司,海南航空控股股份有限公司,8,海南航空控股股份有限公司,海南航空控股股份有限公司,4,海南,海南,100
14924,000089.SZ,深圳机场,海南航空股份有限公司,海南航空股份有限公司,9,海南航空股份有限公司,海南航空股份有限公司,5,海南,海南,100
14949,000089.SZ,深圳机场,深圳机场雅仕维传媒有限公司,深圳机场雅仕维传媒有限公司,12,深圳机场雅仕维传媒有限公司,深圳机场雅仕维传媒有限公司,6,深圳,深圳,100
14950,000089.SZ,深圳机场,深圳机场雅仕维传媒有限公司,深圳机场雅仕维传媒有限公司,12,深圳机场雅士维传媒有限公司,深圳机场雅士维传媒有限公司,7,深圳,深圳,92
14959,000089.SZ,深圳机场,深圳航空有限责任公司,深圳航空有限责任公司,13,深圳航空有限责任公司,深圳航空有限责任公司,8,深圳,深圳,100
15628,000099.SZ,中信海直,四川省应急管理厅,四川省应急管理厅,30,四川省应急管理厅,四川省应急管理厅,15,四川,四川,100
15956,000153.SZ,丰原药业,合肥市第一人民医院,合肥市第一人民医院,6,合肥市第一人民医院,合肥市第一人民医院,2,合肥,合肥,100
15979,000153.SZ,丰原药业,安徽医科大学附属巢湖医院,安徽医科大学附属巢湖医院,8,安徽医科大学附属巢湖医院,安徽医科大学附属巢湖医院,3,安徽,安徽,100
16095,000153.SZ,丰原药业,蚌埠医学院第一附属医院,蚌埠医学院第一附属医院,18,蚌埠医学院第二附属医院,蚌埠医学院第二附属医院,9,蚌埠,蚌埠,91
16106,000153.SZ,丰原药业,蚌埠医学院第二附属医院,蚌埠医学院第二附属医院,19,蚌埠医学院第二附属医院,蚌埠医学院第二附属医院,9,蚌埠,蚌埠,100
16416,000155.SZ,川能动力,中国电建集团四川工程有限公司,中国电建集团四川工程有限公司,7,中国电建集团四川工程有限公司,中国电建集团四川工程有限公司,3,四川,四川,100
16525,000155.SZ,川能动力,中铝天津国际贸易有限公司,中铝天津国际贸易有限公司,11,中铝天津国际贸易有限公司,中铝天津国际贸易有限公司,4,天津,天津,100
16685,000155.SZ,川能动力,四川瑞象农资有限公司,四川瑞象农资有限公司,17,中农集团控股四川农资有限公司,中农集团控股四川农资有限公司,2,四川,四川,89
16691,000155.SZ,川能动力,四川瑞象农资有限公司,四川瑞象农资有限公司,17,四川瑞象农资有限公司,四川瑞象农资有限公司,8,四川,四川,100
16773,000155.SZ,川能动力,四川翔龄实业有限公司,四川翔龄实业有限公司,20,四川翔龄实业有限公司,四川翔龄实业有限公司,9,四川,四川,100
16801,000155.SZ,川能动力,四川能投化学新材料有限公司,四川能投化学新材料有限公司,21,四川能投化学新材料有限公司,四川能投化学新材料有限公司,10,四川,四川,100
16911,000155.SZ,川能动力,四川长江水运有限责任公司,四川长江水运有限责任公司,25,四川长江水运有限责任公司,四川长江水运有限责任公司,12,四川,四川,100
16940,000155.SZ,川能动力,国网四川省电力公司,国网四川省电力公司,26,国网四川省电力公司,国网四川省电力公司,14,四川,四川,100
16967,000155.SZ,川能动力,国网四川省电力公司攀枝花供电公司,国网四川省电力公司攀枝花供电公司,27,国网四川省电力公司,国网四川省电力公司,14,四川,四川,100
16996,000155.SZ,川能动力,天津宏达能源集团有限公司,天津宏达能源集团有限公司,28,天津泰达能源集团有限公司,天津泰达能源集团有限公司,16,天津,天津,92
17023,000155.SZ,川能动力,天津泰达能源集团有限公司,天津泰达能源集团有限公司,29,天津泰达能源集团有限公司,天津泰达能源集团有限公司,16,天津,天津,100
17161,000155.SZ,川能动力,招商物产(天津)有限公司,招商物产(天津)有限公司,34,招商物产(天津)有限公司,招商物产(天津)有限公司,19,天津,天津,100
17243,000155.SZ,川能动力,湖南省工业设备安装有限公司,湖南省工业设备安装有限公司,37,湖南省工业设备安装有限公司,湖南省工业设备安装有限公司,20,湖南,湖南,100
17354,000155.SZ,川能动力,重庆东杰物资有限公司,重庆东杰物资有限公司,41,重庆东杰物资有限公司,重庆东杰物资有限公司,23,重庆,重庆,100
17382,000155.SZ,川能动力,重庆钢铁集团设计院有限公司,重庆钢铁集团设计院有限公司,42,重庆钢铁集团设计院有限公司,重庆钢铁集团设计院有限公司,24,重庆,重庆,100
18030,000158.SZ,常山北明,天津市纺织工业供销有限公司,天津市纺织工业供销有限公司,26,天津市纺织工业供销有限公司,天津市纺织工业供销有限公司,16,天津,天津,100
18267,000158.SZ,常山北明,腾讯云计算(北京)有限责任公司,腾讯云计算(北京)有限责任公司,36,腾讯云计算(北京)有限责任公司,腾讯云计算(北京)有限责任公司,23,北京,北京,100
18645,000159.SZ,国际实业,中核(南京)能源发展有限公司,中核(南京)能源发展有限公司,9,中核(南京)能源发展有限公司,中核(南京)能源发展有限公司,6,南京,南京,100
18858,000159.SZ,国际实业,乌鲁木齐市海达伟业石油化工有限责任公司,乌鲁木齐市海达伟业石油化工有限责任公司,15,乌鲁木齐海达伟业石油化工有限责任公司,乌鲁木齐海达伟业石油化工有限责任公司,9,乌鲁木齐,乌鲁木齐,94
18893,000159.SZ,国际实业,乌鲁木齐海达伟业石油化工有限责任公司,乌鲁木齐海达伟业石油化工有限责任公司,16,乌鲁木齐海达伟业石油化工有限责任公司,乌鲁木齐海达伟业石油化工有限责任公司,9,乌鲁木齐,乌鲁木齐,100
19070,000159.SZ,国际实业,南京中核能源工程有限公司,南京中核能源工程有限公司,21,南京中核能源工程有限公司,南京中核能源工程有限公司,11,南京,南京,100
19141,000159.SZ,国际实业,南京电气科技集团有限公司,南京电气科技集团有限公司,23,南京电气科技集团有限公司,南京电气科技集团有限公司,12,南京,南京,100
21243,000301.SZ,东方盛虹,上海莘威运动品有限公司,上海莘威运动品有限公司,14,上海莘威运动品有限公司,上海莘威运动品有限公司,3,上海,上海,100
23450,000408.SZ,藏格矿业,四川福杰鑫贸易有限公司,四川福杰鑫贸易有限公司,6,四川福杰鑫贸易有限公司,四川福杰鑫贸易有限公司,1,四川,四川,100
23865,000409.SZ,云鼎科技,山东慧通轮胎有限公司,山东慧通轮胎有限公司,12,山东慧通轮胎有限公司,山东慧通轮胎有限公司,11,山东,山东,100
24080,000409.SZ,云鼎科技,淮南矿业(集团)有限责任公司,淮南矿业(集团)有限责任公司,21,淮南矿业(集团)有限责任公司,淮南矿业(集团)有限责任公司,19,淮南,淮南,100
24408,000410.SZ,沈阳机床,十堰圣伟屹智能制造有限公司,十堰圣伟屹智能制造有限公司,8,十堰圣伟屹智能制造有限公司,十堰圣伟屹智能制造有限公司,2,十堰,十堰,100
24503,000410.SZ,沈阳机床,大连华锐重工集团股份有限公司,大连华锐重工集团股份有限公司,12,大连华锐重工集团股份有限公司,大连华锐重工集团股份有限公司,5,大连,大连,100
24810,000410.SZ,沈阳机床,沈阳机床(集团)希斯有限公司,沈阳机床(集团)希斯有限公司,25,沈阳机床(集团)有限责任公司,沈阳机床(集团)有限责任公司,13,沈阳,沈阳,86
24833,000410.SZ,沈阳机床,沈阳机床(集团)有限责任公司,沈阳机床(集团)有限责任公司,26,沈阳机床(集团)有限责任公司,沈阳机床(集团)有限责任公司,13,沈阳,沈阳,100
24857,000410.SZ,沈阳机床,沈阳机床华屹工业控股集团有限公司,沈阳机床华屹工业控股集团有限公司,27,沈阳机床华屹工业控股集团有限公司,沈阳机床华屹工业控股集团有限公司,14,沈阳,沈阳,100
25183,000410.SZ,沈阳机床,深圳金尚展智能装备有限公司,深圳金尚展智能装备有限公司,41,深圳金尚展智能装备有限公司,深圳金尚展智能装备有限公司,18,深圳,深圳,100
25256,000410.SZ,沈阳机床,辽宁中捷机床销售维修有限公司,辽宁中捷机床销售维修有限公司,44,辽宁中捷机床销售维修有限公司,辽宁中捷机床销售维修有限公司,22,辽宁,辽宁,100
25280,000410.SZ,沈阳机床,辽宁瑞科工贸有限公司,辽宁瑞科工贸有限公司,45,辽宁瑞科工贸有限公司,辽宁瑞科工贸有限公司,23,辽宁,辽宁,100
25795,000421.SZ,南京公用,华北电网有限公司唐山供电公司,华北电网有限公司唐山供电公司,8,华北电网有限公司唐山供电公司,华北电网有限公司唐山供电公司,2,唐山,唐山,100
25899,000421.SZ,南京公用,南京华新有色金属有限公司,南京华新有色金属有限公司,14,南京华新有色金属有限公司,南京华新有色金属有限公司,4,南京,南京,100
26206,000421.SZ,南京公用,南京电气(集团)有限责任公司,南京电气(集团)有限责任公司,32,南京电气(集团)有限责任公司,南京电气(集团)有限责任公司,5,南京,南京,100
26365,000421.SZ,南京公用,安徽曜创华行商业地产顾问有限公司,安徽曜创华行商业地产顾问有限公司,41,安徽曜创华行商业地产顾问有限公司,安徽曜创华行商业地产顾问有限公司,11,安徽,安徽,100
26834,000426.SZ,兴业银锡,乐天恒和(北京)科贸有限公司,乐天恒和(北京)科贸有限公司,8,乐天恒和(北京)科贸有限公司,乐天恒和(北京)科贸有限公司,3,北京,北京,100
26970,000426.SZ,兴业银锡,大连澜聚国际贸易有限公司,大连澜聚国际贸易有限公司,14,大连澜聚国际贸易有限公司,大连澜聚国际贸易有限公司,7,大连,大连,100
27218,000426.SZ,兴业银锡,河南豫光锌业有限公司,河南豫光锌业有限公司,25,河南豫光锌业有限公司,河南豫光锌业有限公司,13,河南,河南,100
27399,000426.SZ,兴业银锡,赤峰中色锌业有限公司,赤峰中色锌业有限公司,33,赤峰中色锌业有限公司,赤峰中色锌业有限公司,18,赤峰,赤峰,100
27466,000426.SZ,兴业银锡,赤峰山金瑞鹏贸易有限公司,赤峰山金瑞鹏贸易有限公司,36,赤峰山金瑞鹏贸易有限公司,赤峰山金瑞鹏贸易有限公司,19,赤峰,赤峰,100
27599,000426.SZ,兴业银锡,赤峰祥申商贸有限公司,赤峰祥申商贸有限公司,42,赤峰祥申商贸有限公司,赤峰祥申商贸有限公司,20,赤峰,赤峰,100
27622,000426.SZ,兴业银锡,赤峰远联钢铁有限责任公司,赤峰远联钢铁有限责任公司,43,赤峰远联钢铁有限责任公司,赤峰远联钢铁有限责任公司,21,赤峰,赤峰,100
27689,000426.SZ,兴业银锡,郴州市竹源实业有限公司,郴州市竹源实业有限公司,46,郴州市竹源实业有限公司,郴州市竹源实业有限公司,22,郴州,郴州,100
27868,000430.SZ,张家界,张家界宏鑫旅游发展有限公司,张家界宏鑫旅游发展有限公司,8,张家界宏鑫旅游发展有限公司,张家界宏鑫旅游发展有限公司,10,张家界,张家界,100
28054,000430.SZ,张家界,张家界边城国际旅行社有限公司,张家界边城国际旅行社有限公司,17,张家界中谊国际旅行社有限公司,张家界中谊国际旅行社有限公司,7,张家界,张家界,86
28058,000430.SZ,张家界,张家界边城国际旅行社有限公司,张家界边城国际旅行社有限公司,17,张家界康泰国际旅行社有限公司,张家界康泰国际旅行社有限公司,11,张家界,张家界,86
28059,000430.SZ,张家界,张家界边城国际旅行社有限公司,张家界边城国际旅行社有限公司,17,张家界康辉国际旅行社有限公司,张家界康辉国际旅行社有限公司,12,张家界,张家界,86
28060,000430.SZ,张家界,张家界边城国际旅行社有限公司,张家界边城国际旅行社有限公司,17,张家界春秋国际旅行社有限公司,张家界春秋国际旅行社有限公司,13,张家界,张家界,86
28061,000430.SZ,张家界,张家界边城国际旅行社有限公司,张家界边城国际旅行社有限公司,17,张家界海外国际旅行社有限公司,张家界海外国际旅行社有限公司,14,张家界,张家界,86
28064,000430.SZ,张家界,张家界边城国际旅行社有限公司,张家界边城国际旅行社有限公司,17,张家界青年国际旅行社有限公司,张家界青年国际旅行社有限公司,17,张家界,张家界,86
28066,000430.SZ,张家界,张家界边城国际旅行社有限公司,张家界边城国际旅行社有限公司,17,张家界高品国际旅行社有限公司,张家界高品国际旅行社有限公司,19,张家界,张家界,86
28386,000488.SZ,晨鸣纸业,上海姚记扑克股份有限公司,上海姚记扑克股份有限公司,1,上海姚记扑克股份有限公司,上海姚记扑克股份有限公司,3,上海,上海,100
28468,000488.SZ,晨鸣纸业,安徽时代物资股份有限公司,安徽时代物资股份有限公司,11,安徽时代物资股份有限公司,安徽时代物资股份有限公司,5,安徽,安徽,100
28477,000488.SZ,晨鸣纸业,山西省印刷物资总公司,山西省印刷物资总公司,12,山西省印刷物资总公司,山西省印刷物资总公司,6,山西,山西,100
28838,000498.SZ,山东路桥,呼和浩特市市政工程管理局,呼和浩特市市政工程管理局,9,呼和浩特市市政工程管理局,呼和浩特市市政工程管理局,7,呼和浩特,呼和浩特,100
28906,000498.SZ,山东路桥,山东潍烟高速铁路有限公司,山东潍烟高速铁路有限公司,11,山东潍烟高速铁路有限公司,山东潍烟高速铁路有限公司,9,山东,山东,100
29273,000498.SZ,山东路桥,山东高速集团有限公司,山东高速集团有限公司,22,山东高速集团有限公司及其子公司,山东高速集团有限公司及其子公司,13,山东,山东,100
29511,000498.SZ,山东路桥,泰安市住房和城乡建设局,泰安市住房和城乡建设局,29,泰安市住房和城乡建设局,泰安市住房和城乡建设局,20,泰安,泰安,100
